uri,issn,jname,atitle
http://vivo.ufl.edu/individual/n6049097202,0897-7151,Journal of Neurotrauma,Restorative Cellular and Molecular Changes Induced in Injured Spinal Cord By Stimulating the Hindbrain's Nucleus Raphe Magnus
http://vivo.ufl.edu/individual/n9024910918,0363-6119,"American Journal of Physiology: Regulatory, Integrative and Comparative Physiology",Chronic Vasodilation Increases Renal Medullary Pde5a and Alpha-Enac Through Independent Renin-Angiotensin-Aldosterone System Pathways
http://vivo.ufl.edu/individual/n4031153429,1570-6443,Journal of Hydro-Environment Research,Estimating Design Floods Based On the Critical Storm Duration for Small Watersheds
http://vivo.ufl.edu/individual/n6084270096,0379-864X,Chemical Senses,Blockade of Insect Odorant Receptor Currents By Amiloride Derivatives
http://vivo.ufl.edu/individual/n6551797377,1759-8478,Journal of Neurointerventional Surgery,The Fda Approval Process for Medical Devices: An Inherently Flawed System Or a Valuable Pathway for Innovation?
http://vivo.ufl.edu/individual/n4419445621,0022-1120,Journal of Fluid Mechanics,"Modelling Circulation, Impulse and Kinetic Energy of Starting Jets With Non-Zero Radial Velocity"
http://vivo.ufl.edu/individual/n1930387614,1368-4973,Sexually transmitted infections,Antibodies To Trichomonas Vaginalis Surface Glycolipid
http://vivo.ufl.edu/individual/n2857650468,0885-2014,Cognitive Development,Language and False Belief in Korean-Speaking and English-Speaking Children
http://vivo.ufl.edu/individual/n922061780,0824-0469,Marine Mammal Science,Ecology and Conservation of the Sirenia
http://vivo.ufl.edu/individual/n5727460244,0006-3525,Biopolymers,Exchangeability of the Flagellin (Flic) and the Cap Protein (Flid) Among Different Species in Flagellar Assembly
http://vivo.ufl.edu/individual/n6392606387,0114-5916,Drug Safety,Defining a Reference Set To Support Methodological Research in Drug Safety
http://vivo.ufl.edu/individual/n9220812171,0264-2751,Cities,Crime Rates and Collective Efficacy: the Role of Family Friendly Planning
http://vivo.ufl.edu/individual/n5101496706,1536-0903,Advances in Neonatal Care,While Waiting Early Recognition and Initial Management of Neonatal Hypoxic-Ischemic Encephalopathy
http://vivo.ufl.edu/individual/n8327321036,1539-3755,"Physical Review E - Statistical, Nonlinear and Soft Matter Physics",Dual Role of Gravity On the Faraday Threshold for Immiscible Viscous Layers
http://vivo.ufl.edu/individual/n2070991323,0892-6638,Faseb Journal,"Consumer Knowledge, Attitudes and Behaviors About Foods That Have Immune Benefits: Focus On Mushrooms"
http://vivo.ufl.edu/individual/n5155012486,0934-0874,Transplant International,Recurrent Hepatitis C Virus Infection Post Liver Transplantation: Impact of Choice of Calcineurin Inhibitor
http://vivo.ufl.edu/individual/n7230134227,0031-949X,Phytopathology,Diverse Plant Genes Are Targeted By Tal Effectors for Disease Susceptibility
http://vivo.ufl.edu/individual/n6331266597,1535-3141,Foodborne Pathogens and Disease,Mechanism of Antimicrobial Action of Sodium Metasilicate Against Salmonella Enterica Serovar Typhimurium
http://vivo.ufl.edu/individual/n5908699328,1943-8141,American Journal of Translational Research,Novel Autoantigens in Type 1 Diabetes
http://vivo.ufl.edu/individual/n8358452974,1098-0121,Physical Review B,When Local Deformations Trigger Lattice Instability: Flow Diagram Investigations for Photoinduced and Quenched Metastable States in a Prussian Blue Analog
http://vivo.ufl.edu/individual/n876393391,0169-8095,Atmospheric Research,Review of Recent Developments in Lightning Channel Corona Sheath Research
http://vivo.ufl.edu/individual/n433813354,0009-7322,Circulation,Why Are Patients With Heart Failure and Preserved Ejection Fraction Hospitalized? Data From I-Preserve
http://vivo.ufl.edu/individual/n1768105633,0022-2933,Journal of Natural History,"Genus Torodora Meyrick in Cambodia (Lepidoptera: Lecithoceridae: Torodorinae), With Descriptions of Three New Species"
http://vivo.ufl.edu/individual/n6069009681,0167-9236,Decision Support Systems,Preventing Ticket-Switching of Rfid-Tagged Items in Apparel Retail Stores
http://vivo.ufl.edu/individual/n4339754735,0892-6638,Faseb Journal,Ketamine (Ket) Decreases Inflammatory and Apoptotic Gene Expression in Ovine Fetal Frontal Cortex Exposed To Global Acute Hypoxic Hypoxia (Hh)
http://vivo.ufl.edu/individual/n5495763803,1525-2027,Geochemistry Geophysics Geosystems,Tidal Modulation of Continuous Nonvolcanic Seismic Tremor in the Chile Triple Junction Region
http://vivo.ufl.edu/individual/n4039661378,0025-3162,Marine Biology,Foraging Habitats and Migration Corridors Utilized By a Recovering Subpopulation of Adult Female Loggerhead Sea Turtles: Implications for Conservation
http://vivo.ufl.edu/individual/n2644500150,0966-6362,Gait & Posture,"Associations of Self-Report Measures With Gait, Range of Motion and Proprioception in Patients With Lumbar Spinal Stenosis"
http://vivo.ufl.edu/individual/n4299895585,0018-5345,Hortscience,A Novel Screening Method for Evaluation of Lettuce Germplasm for Bacterial Leaf Spot Resistance
http://vivo.ufl.edu/individual/n4373726926,1471-2288,Bmc Medical Research Methodology,Selecting a Sample Size for Studies With Repeated Measures
http://vivo.ufl.edu/individual/n809951470,1354-0688,Party Politics,Have the Cake and Eat It: the Rational Voter in Africa
http://vivo.ufl.edu/individual/n7146892742,1467-5463,Briefings in Bioinformatics,A Statistical Procedure To Map High-Order Epistasis for Complex Traits
http://vivo.ufl.edu/individual/n3395322651,0065-7727,Abstracts of Papers of the American Chemical Society,Mesoscale Effects in Bimetallic Cyanide-Bridged Coordination Polymer Heterostructures as Li-Ion Cathode Materials
http://vivo.ufl.edu/individual/n5239232430,0300-3256,Zoologica Scripta,Molecular Phylogenetics of the Burrowing Crayfish Genus Fallicambarus (Decapoda: Cambaridae)
http://vivo.ufl.edu/individual/n1658148937,0378-7788,Energy and Buildings,A New Method for Controlling Co2 in Buildings With Unscheduled Opening Hours
http://vivo.ufl.edu/individual/n7924091791,0736-6205,Biotechniques,The Choice of Reference Gene Affects Statistical Efficiency in Quantitative Pcr Data Analysis
http://vivo.ufl.edu/individual/n9311086164,0031-8299,Phoenix-the Journal of the Classical Association of Canada,Demosthenes of Athens and the Fall of Classical Greece
http://vivo.ufl.edu/individual/n8827481286,0011-1287,Crime and Delinquency,Understanding Gang Membership and Crime Victimization Among Jail Inmates: Testing the Effects of Self-Control
http://vivo.ufl.edu/individual/n7839729785,1526-5900,Journal of Pain,Inducing Temporal Summation: the Importance of Relevant Stimulus Parameters
http://vivo.ufl.edu/individual/n5539663205,1471-2164,BMC Genomics,Male-Specific Fruitless Isoforms Have Different Regulatory Roles Conferred By Distinct Zinc Finger Dna Binding Domains
http://vivo.ufl.edu/individual/n5237701347,0268-0130,Herpetological Journal,"Do Big Dads Make Big Babies? Paternal Effects On Larval Performance in Red-Eyed Treefrogs of Belize (Agalychnis Callidryas, A-Moreletti)"
http://vivo.ufl.edu/individual/n518579802,0587-4246,Acta Physica Polonica a,Differential Reflection Spectroscopy: a Novel Method for Explosive Detection
http://vivo.ufl.edu/individual/n8910939131,0892-6638,Faseb Journal,Effects of Il-6 On Intestinal Damage and Cytokine Profiles During Recovery From Heat Stroke
http://vivo.ufl.edu/individual/n350571279,0065-7727,Abstracts of Papers of the American Chemical Society,Measuring Surface Spin-Polarization of Ferromagnetic Thin Films Using Point-Contact Andreev Reflection Spectroscopy
http://vivo.ufl.edu/individual/n4092874916,0043-1354,Water Research,"Stable Isotope Composition of Suspended Particulate Organic Matter in Twenty Reservoirs From Guangdong, Southern China: Implications for Pelagic Carbon and Nitrogen Cycling"
http://vivo.ufl.edu/individual/n4028089565,0004-637X,Astrophysical Journal,The Galactic Census of High- and Medium-Mass Protostars. Ii. Luminosities and Evolutionary States of a Complete Sample of Dense Gas Clumps
http://vivo.ufl.edu/individual/n9543397170,0897-7151,Journal of Neurotrauma,Impact of Moderate Blast Exposures On Thrombin Biomarkers Assessed By Calibrated Automated Thrombography in Rats
http://vivo.ufl.edu/individual/n3534073068,1936-5209,Journal of Plant Registrations,Registration of `Cpcl 95-2287' Sugarcane
http://vivo.ufl.edu/individual/n7820700946,1936-2625,International Journal of Clinical and Experimental Pathology,Novel Detection of Pancreatic and Duodenal Homeobox 1 Autoantibodies (Paa) in Human Sera Using Luciferase Immunoprecipitation Systems (Lips) Assay
http://vivo.ufl.edu/individual/n3521544109,0962-8436,"Philosophical transactions of the Royal Society of London. Series B, Containing papers of a biological character",Testing the Amazon Savannization Hypothesis: Fire Effects On Invasion of a Neotropical Forest By Native Cerrado and Exotic Pasture Grasses
http://vivo.ufl.edu/individual/n7158640096,0305-0270,Journal of Biogeography,"Dispersal Limitation, Speciation, Environmental Filtering and Niche Differentiation Influence Forest Tree Communities in West Polynesia"
http://vivo.ufl.edu/individual/n7918591413,0305-6244,Review of African Political Economy,"""You Say Rape, I Say Hospitals. But Whose Voice Is Louder?' Health, Aid and Decision-Making in the Democratic Republic of Congo"
http://vivo.ufl.edu/individual/n324860956,1932-6203,PLoS One,Loss of the Inducible Hsp70 Delays the Inflammatory Response To Skeletal Muscle Injury and Severely Impairs Muscle Regeneration
http://vivo.ufl.edu/individual/n8563504407,1741-7007,BMC Biology,Revisiting the Relationship Between Regenerative Ability and Aging
http://vivo.ufl.edu/individual/n7069812215,0065-7727,Abstracts of Papers of the American Chemical Society,"Efficient N2-Selective Copper-Catalyzed Arylation of 1,2,3-Triazoles"
http://vivo.ufl.edu/individual/n5780960153,0022-3069,Journal of Neuropathology and Experimental Neurology,Long-Term Analyses of Innervation and Neuromuscular Integrity in the Trembler-J Mouse Model of Charcot-Marie-Tooth Disease
http://vivo.ufl.edu/individual/n3732304368,0363-6119,"American Journal of Physiology: Regulatory, Integrative and Comparative Physiology",Physiological and Molecular Mechanisms of Salt and Water Homeostasis in the Nematode Caenorhabditis Elegans
http://vivo.ufl.edu/individual/n451390645,1944-8244,ACS Applied Materials and Interfaces,Solvothermal-Induced Conversion of One-Dimensional Multi Layer Nanotubes To Two-Dimensional Hydrophilic Vox Nanosheets: Synthesis and Water Treatment Application
http://vivo.ufl.edu/individual/n7046650407,0264-410X,Vaccine,In Vivo Evaluation of Chitosan as An Adjuvant in Subcutaneous Vaccine Formulations
http://vivo.ufl.edu/individual/n475975523,0022-0388,Journal of Development Studies,Creating Direct Incentives for Wildlife Conservation in Community-Based Natural Resource Management Programmes in Botswana
http://vivo.ufl.edu/individual/n9397937268,1350-1925,Neurogastroenterology and Motility,The Effect of Posture and Swallow Volume On Peristaltic Break Size and Probability of Bolus Clearance
http://vivo.ufl.edu/individual/n1326346389,0938-8990,Mammalian Genome,Recommendations for the Investigation of Animal Models of Prader-Willi Syndrome
http://vivo.ufl.edu/individual/n4097562579,1932-6203,PLoS One,Association of Cytokine and Toll-Like Receptor Gene Polymorphisms With Severe Malaria in Three Regions of Cameroon
http://vivo.ufl.edu/individual/n7608359627,0042-6822,Virology,"Human Parvovirus B19 Infection Leads To Downregulation of Thyroid, Estrogen, and Retinoid Hormone Receptor Expression"
http://vivo.ufl.edu/individual/n1243528563,2157-7277,International Journal of Athletic Therapy and Training,Arteriovenous Malformation in a Collegiate Football Player
http://vivo.ufl.edu/individual/n9408578388,0169-4332,Applied Surface Science,Stoichiometry Dependence of the Optical Properties of Amorphous-Like Inx-Wgawzn1-Xo1+0.5X-Delta Thin Films
http://vivo.ufl.edu/individual/n9062159388,0022-2216,Journal of Leisure Research,Sex as Leisure in the Shadow of Depression
http://vivo.ufl.edu/individual/n1909566063,1545-598X,IEEE Geoscience and Remote Sensing Letters,Spatial Scaling and Variability of Soil Moisture Over Heterogeneous Land Cover and Dynamic Vegetation Conditions
http://vivo.ufl.edu/individual/n1271328306,0272-9490,The American Journal of Occupational Therapy,Concurrent Criterion Validity of the Safe Driving Behavior Measure: a Predictor of On-Road Driving Outcomes
http://vivo.ufl.edu/individual/n5186147322,0065-7727,Abstracts of Papers of the American Chemical Society,Anything But Overlooked: Librarians Teaching Scientific Communication Skills At the University of Florida
http://vivo.ufl.edu/individual/n5624599574,0031-0182,Palaeogeography Palaeoclimatology Palaeoecology,"Paleohydrologic Response To Continental Warming During the Paleocene-Eocene Thermal Maximum, Bighorn Basin, Wyoming"
http://vivo.ufl.edu/individual/n2556648858,1536-1233,IEEE Transactions On Mobile Computing,On Centralized and Localized Approximation Algorithms for Interference-Aware Broadcast Scheduling
http://vivo.ufl.edu/individual/n5695867284,0261-2194,Crop Protection,Fumigant Persistence and Emission From Soil Under Multiple Field Application Scenarios
http://vivo.ufl.edu/individual/n5148462460,2050-750X,Journal of Materials Chemistry B,Fe Doped Cdtes Magnetic Quantum Dots for Bioimaging
http://vivo.ufl.edu/individual/n7992558649,0006-4971,Blood,Better Leukemia-Free and Overall Survival in Aml in First Remission Following Cyclophosphamide in Combination With Busulfan Compared With Tbi
http://vivo.ufl.edu/individual/n4312718226,0263-6352,Journal of Hypertension,Increased Wave Reflection and Ejection Duration in Women With Chest Pain and Nonobstructive Coronary Artery Disease: Ancillary Study From the Women's Ischemia Syndrome Evaluation
http://vivo.ufl.edu/individual/n631584753,0032-079X,Plant and Soil,The Role of Magnesium in Plant Disease
http://vivo.ufl.edu/individual/n1981340547,0090-6905,Journal of Psycholinguistic Research,Activating Situation Schemas: the Effects of Multiple Thematic Roles On Related Verbs in a Continuous Priming Paradigm
http://vivo.ufl.edu/individual/n9031696388,0894-0282,Molecular plant-microbe interactions MPMI,Peroxysomal Carnitine Acetyl Transferase Influences Host Colonization Capacity in Sclerotinia Sclerotiorum
http://vivo.ufl.edu/individual/n7883713004,0749-0739,The Veterinary clinics of North America. Equine practice,New Ways To Diagnose and Treat Equine Dental-Related Sinus Disease
http://vivo.ufl.edu/individual/n6988754166,1534-4827,Current Diabetes Report,The Future of Thiazolidinedione Therapy in the Management of Type 2 Diabetes Mellitus
http://vivo.ufl.edu/individual/n7933216598,0002-9270,American Journal of Gastroenterology,A New Eus-Guided Multi-Fiducial Delivery System
http://vivo.ufl.edu/individual/n2011003107,1098-0121,Physical Review B,Bulk Fermi Surface and Electronic Properties of Cu0.07Bi2Se3
http://vivo.ufl.edu/individual/n9638148269,1550-7998,Physical Review D,Precision Studies of the Higgs Boson Decay Channel H -> Zz -> 4L With Mekd
http://vivo.ufl.edu/individual/n4134261317,1052-3928,Journal of Professional Issues in Engineering Education and Practice,Work-Life Balance and Organizational Commitment of Women in the U.S. Construction Industry
http://vivo.ufl.edu/individual/n4017050199,0250-832X,Dentomaxillofacial Radiology,Comparison of Observer Reliability of Three-Dimensional Cephalometric Landmark Identification On Subject Images From Galileos and I-Cat Cone Beam Ct
http://vivo.ufl.edu/individual/n7263839157,1051-0443,Journal of Vascular and Interventional Radiology,Transarterial Fiducial Marker Placement: a Novel Technique
http://vivo.ufl.edu/individual/n8048066204,0016-9013,The gerontologist,Life-Cognition: Design and Baseline Data
http://vivo.ufl.edu/individual/n4126061162,0021-8839,Journal of Apicultural Research,Standard Methods for Apis Mellifera Anatomy and Dissection
http://vivo.ufl.edu/individual/n4352238678,1355-4794,Neurocase,Excessive Tv Watching in Patients With Frontotemporal Dementia
http://vivo.ufl.edu/individual/n6078345633,1932-6203,PLoS One,Accounting for Imperfect Detection Is Critical for Inferring Marine Turtle Nesting Population Trends
http://vivo.ufl.edu/individual/n4365182092,0269-283X,Medical and Veterinary Entomology,Potential Population Growth and Harmful Effects On Humans From Bed Bug Populations Exposed To Different Feeding Regimes
http://vivo.ufl.edu/individual/n1097581295,1463-9076,Physical Chemistry Chemical Physics,Probing the Electrode/Electrolyte Interface in the Lithium Excess Layered Oxide Li1.2Ni0.2Mn0.6O2
http://vivo.ufl.edu/individual/n7871363216,0733-9372,ASCE Journal of Environmental Engineering,Instantaneous Stepwise-Steady Cfd Model of Bmp Response To Unsteady Pm Loadings
http://vivo.ufl.edu/individual/n6260339739,1070-9908,IEEE Signal Processing Letters,Joint Design of the Receive Filter and Transmit Sequence for Active Sensing
http://vivo.ufl.edu/individual/n5176143207,0039-2499,Stroke,Foot Drop Stimulation Versus Ankle Foot Orthosis After Stroke 30-Week Outcomes
http://vivo.ufl.edu/individual/n6120190879,0009-7322,Circulation,Long-Term Safety and Effectiveness of Mechanical Versus Biologic Aortic Valve Prostheses in Older Patients Results From the Society of Thoracic Surgeons Adult Cardiac Surgery National Database
http://vivo.ufl.edu/individual/n3438382291,0006-3592,Biotechnology and Bioengineering,Improved Recellularization of Ex Vivo Vascular Scaffolds Using Directed Transport Gradients To Modulate Ecm Remodeling
http://vivo.ufl.edu/individual/n8762798315,1935-7524,Electronic Journal of Statistics,The Polya-Gamma Gibbs Sampler for Bayesian Logistic Regression Is Uniformly Ergodic
http://vivo.ufl.edu/individual/n3430280449,1533-4880,Journal of Nanoscience and Nanotechnology,Thermal Evolution Characterizatics of Atomic Layer Deposition Prepared Tio2 Interfacial Layer By Synchrotron Radiation X-Ray Scattering
http://vivo.ufl.edu/individual/n1332212769,1951-6355,European Physical Journal-Special Topics,Combining Social and Genetic Networks To Study Hiv Transmission in Mixing Risk Groups
http://vivo.ufl.edu/individual/n1481768431,0167-4544,Journal of Business Ethics,Technology Regulation Policy for Business Ethics: An Example of Rfid in Supply Chain Management
http://vivo.ufl.edu/individual/n8777708437,0031-949X,Phytopathology,A Novel Virus of the Genus Cilevirus Causing Symptoms Similar To Citrus Leprosis
http://vivo.ufl.edu/individual/n8793865267,0016-9013,The gerontologist,Metabolic Rate of Walking in Fatigued Vs. Non-Fatigued Older Adults
http://vivo.ufl.edu/individual/n8074900506,0048-5772,Psychophysiology,Whole Brain Fmri During Rapid Serial Visual Presentation (Rsvp): Emotion and Hedonic Content
http://vivo.ufl.edu/individual/n1163821338,0039-7881,Synthesis-Stuttgart,Macrocyclic Peptoids By Selective S-Acylation of Cysteine Esters
http://vivo.ufl.edu/individual/n4509860222,1932-6203,PLoS One,Ex Vivo Pathomechanics of the Canine Pond-Nuki Model
http://vivo.ufl.edu/individual/n2928440044,1071-7641,Journal of Interior Design,On Being the Journal of Record for Interior Design
http://vivo.ufl.edu/individual/n7578395973,0196-0709,American Journal of Otolaryngology,Mohs Resection and Postoperative Radiotherapy for Head and Neck Cancers With Incidental Perineural Invasion
http://vivo.ufl.edu/individual/n6021903326,0194-911X,Hypertension,Chronic Knockdown of the Nucleus of the Solitary Tract At(1) Receptors Increases Blood Inflammatory-Endothelial Progenitor Cell Ratio and Exacerbates Hypertension in the Spontaneously Hypertensive Rat
http://vivo.ufl.edu/individual/n6425764641,0015-4040,Florida Entomologist,Probing Behaviors of Adult Asian Citrus Psyllid (Hemiptera: Liviidae) Are Not Appreciably Affected By Soil Application of Field-Rate Aldicarb To Citrus
http://vivo.ufl.edu/individual/n8109710091,1176-9343,Evolutionary Bioinformatics,Phylotreepruner: a Phylogenetic Tree-Based Approach for Selection of Orthologous Sequences for Phylogenomics
http://vivo.ufl.edu/individual/n5581659185,0378-1119,Gene,"An Est Database of the Caribbean Fruit Fly, Anastrepha Suspensa (Diptera: Tephritidae)"
http://vivo.ufl.edu/individual/n6466731896,0022-2011,Journal of Invertebrate Pathology,Muscavirus (Mdsghv) Disease Dynamics in House Fly Populations - How Is This Virus Transmitted and Has It Potential as a Biological Control Agent?
http://vivo.ufl.edu/individual/n4180861412,0065-7727,Abstracts of Papers of the American Chemical Society,Synthesis of Novel Synthetic Intermediates N-Cbz-Protected-Peptidoyl Bis-Benzotriazolides
http://vivo.ufl.edu/individual/n4023532594,1389-9457,Sleep Medicine,"The Relationships Between Asthma Control, Daytime Sleepiness, and Quality of Life Among Children With Asthma: a Path Analysis"
http://vivo.ufl.edu/individual/n6435203288,0718-9516,Journal of Soil Science and Plant Nutrition,Organic Carbon Density and Storage of the Major Black Soil Regions in Northeast China
http://vivo.ufl.edu/individual/n9529668803,0029-7844,Obstetrics and gynecology,Influenza Vaccine a Safe Bet for Mother and Baby
http://vivo.ufl.edu/individual/n4081607316,0149-5992,Diabetes Care,Global Reality of Type 1 Diabetes Care in 2013
http://vivo.ufl.edu/individual/n1129972651,1943-2631,Genetics,"The Evolutionary Genetics of the Genes Underlying Phenotypic Associations for Loblolly Pine (Pinus Taeda, Pinaceae)"
http://vivo.ufl.edu/individual/n9041962650,1538-4101,Cell Cycle,Targeting Mitotic Exit With Hyperthermia Or Apc/C Inhibition To Increase Paclitaxel Efficacy
http://vivo.ufl.edu/individual/n7260365201,0376-8716,Drug and Alcohol Dependence,"Latent Class Analysis of Polysubstance Use, Sexual Risk Behaviors, and Infectious Disease Among South African Drug Users"
http://vivo.ufl.edu/individual/n6474797041,0006-8993,Brain Research,Alzheimer's Disease-Related Changes in Regional Spontaneous Brain Activity Levels and Inter-Region Interactions in the Default Mode Network
http://vivo.ufl.edu/individual/n3233369204,0270-6474,Journal of Neuroscience,Angiotensin Type 1a Receptors in the Paraventricular Nucleus of the Hypothalamus Protect Against Diet-Induced Obesity
http://vivo.ufl.edu/individual/n4158352007,1367-9430,Animal Conservation,"Controlling Access To Oil Roads Protects Forest Cover, But Not Wildlife Communities: a Case Study From the Rainforest of Yasuni Biosphere Reserve (Ecuador)"
http://vivo.ufl.edu/individual/n928554571,0022-5002,Journal of the Experimental Analysis of Behavior,Varying the Costs of Sunk Costs: Optimal and Non-Optimal Choices in a Sunk-Cost Task With Humans
http://vivo.ufl.edu/individual/n2080323952,0022-0981,Journal of Experimental Marine Biology and Ecology ,Testing An Autonomous Acoustic Telemetry Positioning System for Fine-Scale Space Use in Marine Animals
http://vivo.ufl.edu/individual/n1035093897,0304-3800,Ecological Modelling,Development and Testing of An Object-Oriented Model for Adaptively Managing Human Disturbance of Least Tern (Sternula Antillarum) Nesting Habitat
