uri,issn,jname,atitle
http://vivo.ufl.edu/individual/n8535168095,0002-9483,American Journal of Physical Anthropology,"Seasonality in the Diet of Sooty Mangabeys (Cercocebus Atys) From Tai Forest, Ivory Coast"
http://vivo.ufl.edu/individual/n6161800455,0003-2638,Analysis,What Is `That'?
http://vivo.ufl.edu/individual/n9924304913,1520-7552,Diabetes-Metabolism Research and Reviews,Role of Genetics in Resistance To Type 1 Diabetes
http://vivo.ufl.edu/individual/n3099261201,0004-637X,Astrophysical Journal,The Heavy-Element Composition of Disk Instability Planets Can Range From Sub-To Super-Nebular
http://vivo.ufl.edu/individual/n2095198437,0027-8424,Proceedings of the National Academy of Sciences of the United States of America,A Plant Virus Evolved By Acquiring Multiple Nonconserved Genes To Extend Its Host Range
http://vivo.ufl.edu/individual/n7726777422,0021-2172,Israel Journal of Mathematics,"Cohomological Dimension, Self-Linking, and Systolic Geometry"
http://vivo.ufl.edu/individual/n4763219282,0003-9969,Archives of Oral Biology,High Resolution of Microrna Signatures in Human Whole Saliva
http://vivo.ufl.edu/individual/n4643881231,1933-7191,Reproductive Sciences,Expression Profile of Micrornas and Mrnas in Human Placentas From Pregnancies Complicated By Preeclampsia and Preterm Labor
http://vivo.ufl.edu/individual/n6129345950,0167-6245,Information Economics and Policy,"Incentives for Cost Shifting and Misreporting: Us Rural Universal Service Subsidies, 1991-2002"
http://vivo.ufl.edu/individual/n2546436742,0360-3016,International Journal of Radiation Oncology * Biology * Physics,A Dosimetric Investigation of Highly Conformal Radiotherapy for Ewing Sarcoma of the Temporal Bone
http://vivo.ufl.edu/individual/n8584962124,0960-8524,Bioresource Technology,Injection of Air Into the Headspace Improves Fermentation of Phosphoric Acid Pretreated Sugarcane Bagasse By Escherichia Coli Mm170
http://vivo.ufl.edu/individual/n5164671546,1744-8069,Molecular Pain,The Temporal-Spatial Encoding of Acupuncture Effects in the Brain
http://vivo.ufl.edu/individual/n8392136491,0963-6897,Cell Transplantation,Raav-Mediated Shrna Knockdown of Alpha-Synuclein in the Rat Substantia Nigra Results in Aberrant Dopamine Handling
http://vivo.ufl.edu/individual/n6327201265,0098-7484,Journal of the American Medical Association,"Implications of the Principle of Question Propagation for Comparative-Effectiveness and ""Data Mining"" Research"
http://vivo.ufl.edu/individual/n7619790243,1567-1356,Fems Yeast Research,"Large-Scale Production, Purification and Bioactivity Assay of Recombinant Human Interleukin-6 in the Methylotrophic Yeast Pichia Pastoris"
http://vivo.ufl.edu/individual/n5805025314,0160-6972,The journal of oral implantology,Comparative Soft and Hard Tissue Responses To Titanium and Polymer Healing Abutments
http://vivo.ufl.edu/individual/n487530235,0036-9640,Scriblerian and the Kit-Cats,"Henry Fielding (1707-1754): Novelist, Playwright, Journalist, Magistrate: a Double Anniversary Tribute"
http://vivo.ufl.edu/individual/n7880415712,2155-5435,Acs Catalysis,Biocatalytic Reductions of Baylis-Hillman Adducts
http://vivo.ufl.edu/individual/n3623752940,0191-2917,Plant Disease,First Report of Twig Blight Disease of Citrus Caused By Haematonectria Haematococca in the Philippines
http://vivo.ufl.edu/individual/n8586265651,1049-9644,Biological Control,"Evaluation of Montandoniola Confusa Streito and Matocq Sp. Nov. and Orius Insidiosus Say (Heteroptera: Anthocoridae), for Control of Gynaikothrips Uzeli Zimmerman (Thysanoptera: Phlaeothripidae) On Ficus Benjamina"
http://vivo.ufl.edu/individual/n7115104242,1071-1023,Journal of Vacuum Science and Technology B,Deep Electron and Hole Traps in Neutron Transmutation Doped N-Gan
http://vivo.ufl.edu/individual/n4297646787,0035-9254,Journal of the Royal Statistical Society - Series C: Applied Statistics,Estimating the Causal Effect of Low Tidal Volume Ventilation On Survival in Patients With Acute Lung Injury
http://vivo.ufl.edu/individual/n19220867,0043-1397,Water Resources Research,Thermal Artifacts in Measurements of Fine-Scale Water Level Variation
http://vivo.ufl.edu/individual/n4430898660,0584-8547,Spectrochimica Acta Part B-Atomic Spectroscopy,Emission Plasma Tomography With Large Acceptance Angle Apertures Relevant To Laser Induced Plasma Spectroscopy
http://vivo.ufl.edu/individual/n1944836608,0721-832X,Graefes Archive for Clinical and Experimental Ophthalmology,Epidermal Growth Factor: the Driving Force in Initiation of Rpe Cell Proliferation
http://vivo.ufl.edu/individual/n8909762822,0036-9640,Scriblerian and the Kit-Cats,What Is Honor? a Question of Moral Imperatives
http://vivo.ufl.edu/individual/n7937459812,0035-9254,Journal of the Royal Statistical Society - Series C: Applied Statistics,New Findings From Terrorism Data: Dirichlet Process Random-Effects Models for Latent Groups
http://vivo.ufl.edu/individual/n5731893974,0958-0670,Experimental Physiology,Lentivirus-Mediated Overexpression of Angiotensin-(1-7) Attenuated Ischaemia-Induced Cardiac Pathophysiology
http://vivo.ufl.edu/individual/n2316835813,0965-1748,Insect Biochemistry and Molecular Biology,"Juvenile Hormone Synthesis: ""Esterify Then Epoxidize"" Or ""Epoxidize Then Esterify""? Insights From the Structural Characterization of Juvenile Hormone Acid Methyltransferase"
http://vivo.ufl.edu/individual/n6263485835,0148-0227,Journal of Geophysical Research,Coastal Cliff Ground Motions From Local Ocean Swell and Infragravity Waves in Southern California
http://vivo.ufl.edu/individual/n3543482979,1092-4388,Journal of Speech Language and Hearing Research,Development of a Short Form of the Boston Naming Test for Individuals With Aphasia
http://vivo.ufl.edu/individual/n6937927677,0018-9480,IEEE Transactions On Microwave Theory and Techniques,Analysis of Detection Methods of Rf Vibrometer for Complex Motion Measurement
http://vivo.ufl.edu/individual/n2180584511,1590-8658,Digestive and Liver Disease,Cytoplasmic Rings/Rods Autoantibodies; a Novel Serum Antibody Developing During Peginterferon Therapy in Patients With Chronic Hepatits C
http://vivo.ufl.edu/individual/n223158197,0026-0495,"Metabolism, clinical and experimental",Sucrose Induces Fatty Liver and Pancreatic Inflammation in Male Breeder Rats Independent of Excess Energy Intake
http://vivo.ufl.edu/individual/n3764186517,0011-183X,Crop Science,Designing a Peanut Ideotype for a Target Environment Using the Csm-Cropgro-Peanut Model
http://vivo.ufl.edu/individual/n9826707961,1350-4126,Personal Relationships,Spousal Social Control During a Weight Loss Attempt: a Daily Diary Study
http://vivo.ufl.edu/individual/n4427384600,0015-4040,Florida Entomologist,First Report of Raoiella Indica (Acari: Tenuipalpidae) in Colombia
http://vivo.ufl.edu/individual/n9754143476,0271-1214,Topics in Early Childhood Special Education,Implementing Randomized Controlled Trials in Preschool Settings That Include Young Children With Disabilities: Considering the Context of Strain and Bovey
http://vivo.ufl.edu/individual/n5386434934,0022-0469,Journal of Ecclesiastical History,Johann Sleidan and the Protestant Vision of History
http://vivo.ufl.edu/individual/n9917744363,0010-0994,College English,Symposium: How I Have Changed My Mind
http://vivo.ufl.edu/individual/n1939169563,1073-449X,American Journal of Respiratory and Critical Care Medicine,A Trojan Horse Strategy To Deliver Amikacin To Mycobacterial Granulomas
http://vivo.ufl.edu/individual/n2737957975,1226-8615,Journal of Asia-Pacific Entomology,"Lecithoceridae (Lepidoptera: Gelechioidea) of New Guinea, Part V: Descriptions of Two New Genera, Neotimyra Gen. Nov and Strombiola Gen. Nov."
http://vivo.ufl.edu/individual/n2365365129,1540-9295,Frontiers in Ecology and the Environment,Quantifying Multiple Threats To Endangered Species: An Example From Loggerhead Sea Turtles
http://vivo.ufl.edu/individual/n4257631072,0012-9658,Ecology,Above- and Belowground Interactions Drive Habitat Segregation Between Two Cryptic Species of Tropical Trees
http://vivo.ufl.edu/individual/n6380189389,0021-9991,Journal of Computational Physics,An Efficient Immersed Boundary-Lattice Boltzmann Method for the Hydrodynamic Interaction of Elastic Filaments
http://vivo.ufl.edu/individual/n6961960761,0039-2499,Stroke,Characterizing and Identifying Risk for Falls in the Leaps Study: a Randomized Clinical Trial
http://vivo.ufl.edu/individual/n8069837524,0191-2917,Plant Disease,Outbreak of Cucurbit Powdery Mildew On Watermelon Fruit Caused By Podosphaera Xanthii in Southwest Florida
http://vivo.ufl.edu/individual/n7112014354,1360-2276,Tropical Medicine and International Health,Larval Environmental Stress Alters Aedes Aegypti Competence for Sindbis Virus
http://vivo.ufl.edu/individual/n7759210532,0963-9969,Food Research International,Phytochemicals From Berries and Grapes Inhibited the Formation of Advanced Glycation End-Products By Scavenging Reactive Carbonyls
http://vivo.ufl.edu/individual/n8834154349,0099-2240,Applied and Environmental Microbiology,"Contribution of the Gas1 Gene of the Entomopathogenic Fungus Beauveria Bassiana, Encoding a Putative Glycosylphosphatidylinositol-Anchored Beta-1,3-Glucanosyltransferase, To Conidial Thermotolerance and Virulence"
http://vivo.ufl.edu/individual/n8141569319,1930-8337,Inverse Problems and Imaging,A Fast Algorithm for Global Minimization of Maximum Likelihood Based On Ultrasound Image Segmentation
http://vivo.ufl.edu/individual/n8565403688,0168-9002,Nuclear Instruments and Methods in Physics Research Section A-Accelerators Spectrometers Detectors and Associated Equipment,Utilization of Mcnp for the Development of Spectral Stripping Algorithms for Orthovoltage Radiation Therapy Systems
http://vivo.ufl.edu/individual/n785720550,1055-7903,Molecular phylogenetics and evolution,Multi-Gene Analysis Provides a Well-Supported Phylogeny of Rosales
http://vivo.ufl.edu/individual/n2526623997,0932-0814,Veterinary and Comparative Orthopaedics and Traumatology,Evaluation of Vascular Trauma After Tibial Plateau Levelling Osteotomy With Or Without Gauze Protection a Cadaveric Angiographic Study
http://vivo.ufl.edu/individual/n5772418789,1081-597X,Journal of Refractive Surgery,Corneal Biomechanics Following Epi-Lasik
http://vivo.ufl.edu/individual/n1565847997,0171-1741,European Journal of Applied Microbiology and Biotechnology,Anaerobic Thermophilic Fermentation for Carboxylic Acid Production From In-Storage Air-Lime-Treated Sugarcane Bagasse
http://vivo.ufl.edu/individual/n5768865164,0094-8373,Paleobiology,Permian-Triassic Land-Plant Diversity in South China: Was There a Mass Extinction At the Permian/Triassic Boundary?
http://vivo.ufl.edu/individual/n3751947025,0002-8762,American Historical Review,The Price of Exclusion: Politics During the Second Republic
http://vivo.ufl.edu/individual/n6915182592,0002-8177,Journal of the American Dental Association,A Meta-Analysis of Randomized Controlled Trials Shows No Evidence That Periodontal Treatment During Pregnancy Prevents Adverse Pregnancy Outcomes
http://vivo.ufl.edu/individual/n5538975461,0194-911X,Hypertension,Rosa26 Angiotensin-Converting Enzyme 2 (Ace2) Knock-in Mice Exhibit Normal Cardiac Function But Attenuated Angiotensin Ii-Induced Hypertension
http://vivo.ufl.edu/individual/n9374992547,0025-3162,Marine Biology,"Sympatry in Grapsoid Crabs (Genera Planes and Plagusia) From Olive Ridley Sea Turtles (Lepidochelys Olivacea), With Descriptions of Crab Diets and Masticatory Structures"
http://vivo.ufl.edu/individual/n7669148414,0012-821X,Earth and Planetary Science Letters,Rapid Cooling Rates At An Active Mid-Ocean Ridge From Zircon Thermochronology
http://vivo.ufl.edu/individual/n709640022,0025-7079,Medical Care,Effects of Nurse Staffing and Nurse Education On Patient Deaths in Hospitals With Different Nurse Work Environments
http://vivo.ufl.edu/individual/n5553391674,0161-8105,Sleep,Sleep-Disordered Breathing and Renal Function in Veterans
http://vivo.ufl.edu/individual/n7130899993,1355-4794,Neurocase,Dynamic-Intentional Thalamic Aphasia: a Failure of Lexical-Semantic Self-Activation
http://vivo.ufl.edu/individual/n6097933886,1550-7998,Physical Review D,Scalar Contribution To the Graviton Self-Energy During Inflation
http://vivo.ufl.edu/individual/n6075544134,0031-9023,Physical therapy,Psychological Factors in Chronic Pelvic Pain in Women: Relevance and Application of the Fear-Avoidance Model of Pain
http://vivo.ufl.edu/individual/n8736921536,0028-0836,Nature,Ecology Nitrogen From the Deep
http://vivo.ufl.edu/individual/n634091127,1547-5654,Journal of Neurosurgery-Spine,Rebleeding Risk After Treatment of Ruptured Intracranial Aneurysms
http://vivo.ufl.edu/individual/n6030246250,1471-1834,Health Information and Libraries Journal,Online Health Information Search and Evaluation: Observations and Semi-Structured Interviews With College Students and Maternal Health Experts
http://vivo.ufl.edu/individual/n8586722918,1050-2947,Physical Review a,"Charge Transfer in Collisions of the Effectively-One-Electron Isocharged Ions Si(3+), C(3+), and O(3+) With Atomic Hydrogen"
http://vivo.ufl.edu/individual/n3030305609,0015-0282,Fertility and Sterility,Anti-Mullerian Hormone (Amh) and Repetitive Oocyte Donation Reply
http://vivo.ufl.edu/individual/n4522744041,1047-3203,Journal of Visual Communication and Image Representation,Stabilization and Optimization of Plus Factorization and Its Application in Image Coding
http://vivo.ufl.edu/individual/n5751336500,0100-204X,Pesquisa Agropecuaria Brasileira,Dual-Purpose Wheat Grain and Animal Production Under Different Grazing Periods
http://vivo.ufl.edu/individual/n7378790489,0960-7412,The Plant journal,Ftsh2 and Ftsh5: Two Homologous Subunits Use Different Integration Mechanisms Leading To the Same Thylakoid Multimeric Complex
http://vivo.ufl.edu/individual/n1149372640,0031-6970,European Journal of Clinical Pharmacology,Population Pharmacokinetic Modeling of Tramadol and Its O-Desmethyl Metabolite in Plasma and Breast Milk
http://vivo.ufl.edu/individual/n4338248476,0091-2700,The Journal of clinical pharmacology and new drugs,Pharmacokinetics of Intranasal Scopolamine Gel Formulation During Antiorthostatic Bedrest - a Microgravity Analog
http://vivo.ufl.edu/individual/n9943359554,0006-341X,Biometrics,Estimation and Inference for the Causal Effect of Receiving Treatment On a Multinomial Outcome: An Alternative Approach Reply
http://vivo.ufl.edu/individual/n9272947606,0737-6782,Journal of Product Innovation Management,Seeing Is Believing (Too Much): the Influence of Product Form On Perceptions of Functional Performance
http://vivo.ufl.edu/individual/n1696076411,1071-2690,In Vitro Cellular & Developmental Biology,Adding Value To Sugarcane Leaves By in Planta Expression of the Hyperthermostable Gh10 Xylanase Xyl10B
http://vivo.ufl.edu/individual/n9867106068,0090-5550,Rehabilitation Psychology,The Apa Ethical Principles as a Foundational Competency: Application To Rehabilitation Psychology
http://vivo.ufl.edu/individual/n9518610154,1067-2516,The Journal of Foot and Ankle Surgery,Three-Wire Fixation Technique for Displaced Fifth Metatarsal Base Fractures
http://vivo.ufl.edu/individual/n2746572729,0004-6361,Astronomy and Astrophysics,Vlt Observations of the Candidate Counterpart To Psr J0108-1431
http://vivo.ufl.edu/individual/n8425174789,0018-9200,IEEE Journal of Solid-State Circuits,A Third-Order Dt Delta Sigma Modulator Using Noise-Shaped Bi-Directional Single-Slope Quantizer
http://vivo.ufl.edu/individual/n7731743542,1472-6882,Bmc Complementary and Alternative Medicine,Antiurolithic Activity of Origanum Vulgare Is Mediated Through Multiple Pathways
http://vivo.ufl.edu/individual/n5686994885,0003-6951,Applied Physics Letters,Capturing Dynamic Cation Hopping in Cubic Pyrochlores
http://vivo.ufl.edu/individual/n8525871947,1355-8382,Rna-a Publication of the Rna Society,Pseudouridine Formation in Archaeal Rnas: the Case of Haloferax Volcanii
http://vivo.ufl.edu/individual/n9253915114,0031-949X,Phytopathology,A Sensitive Molecular Method for Detecting Virus in Orchids
http://vivo.ufl.edu/individual/n2807323675,2156-7085,Biomedical Optics Express,Photoacoustic Image Reconstruction From Few-Detector and Limited-Angle Data
http://vivo.ufl.edu/individual/n3502596825,1053-8569,Pharmacoepidemiology and Drug Safety,Adhd Youths' Career in Psychotropic Treatment
http://vivo.ufl.edu/individual/n9875777518,0168-8278,Journal of Hepatology,Adipose Tissue-Derived Mesenchymal Stem Cell-Based Liver Gene Delivery
http://vivo.ufl.edu/individual/n6155390418,0006-579X,Bois Et Forets Des Tropiques,Enriched Secondary Subtropical Forest Through Line-Planting for Sustainable Timber Production in Puerto Rico
http://vivo.ufl.edu/individual/n5495756834,1549-1277,Plos Medicine,A Research Agenda for Malaria Eradication: Modeling
http://vivo.ufl.edu/individual/n899436293,0031-949X,Phytopathology,"Effect of Immersion Depth, Dwell Time and Fruit-Water Temperature Differences On Water Uptake By Flumed Tomatoes"
http://vivo.ufl.edu/individual/n4930134542,1546-1718,Nature genetics,Genome-wide association analyses identify 13 new susceptibility loci for generalized vitiligo.
http://vivo.ufl.edu/individual/n367858006,0162-8828,IEEE Transactions on Software Engineering,Robust Point Set Registration Using Gaussian Mixture Models
http://vivo.ufl.edu/individual/n3117612418,0047-2425,Journal of Environmental Quality,Soil Carbon Storage in Silvopastoral Systems and a Treeless Pasture in Northwestern Spain
http://vivo.ufl.edu/individual/n7842490221,0003-2700,Analytical Chemistry,Direct Matrix-Assisted Laser Desorption/Ionization Mass Spectrometric Imaging of Cellulose and Hemicellulose in Populus Tissue
http://vivo.ufl.edu/individual/n2248251711,0933-5846,Archive for Mathematical Logic,A Superhigh Diamond in the C.E. Tt-Degrees
http://vivo.ufl.edu/individual/n7681281721,0223-5234,European Journal of Medicinal Chemistry,Characterization of Phytase From Three Ferns With Differing Arsenic Tolerance
http://vivo.ufl.edu/individual/n5757246104,1096-7192,Molecular genetics and metabolism,The Pompe Registry: Baseline Data From the First Five Years
http://vivo.ufl.edu/individual/n2538213804,0148-639X,Muscle & nerve,A Novel Modulation Strategy To Increase Stimulation Duration in Neuromuscular Electrical Stimulation
http://vivo.ufl.edu/individual/n3669977534,1932-6203,PLoS One,Potential Associations Between Severity of Infection and the Presence of Virulence-Associated Genes in Clinical Strains of Staphylococcus Aureus
http://vivo.ufl.edu/individual/n2873950794,0958-3157,Biocontrol Science and Technology,Inhibition of Rhizoctonia By Endospore Forming Bacteria Indigenous To Landscape Planting Beds
http://vivo.ufl.edu/individual/n2359443809,0276-7333,Organometallics,Aminotroponiminato Hafnium and Zirconium Complexes: Synthesis and Ethylene/1-Octene Copolymerization Study
http://vivo.ufl.edu/individual/n3458777474,0376-8716,Drug and Alcohol Dependence,Alcohol Consumption Associated With Collegiate American Football Pre-Game Festivities
http://vivo.ufl.edu/individual/n7727505749,1359-6454,Acta Materialia,Strategy for the Maximum Extraction of Information Generated From Combinatorial Experimentation of Co-Doped Zno Thin Films
http://vivo.ufl.edu/individual/n9510786068,0277-5387,Polyhedron,"Epr and Magnetic Quantum Tunneling Studies of the Mixed Valent {[}Mn(4)(Anca)(4)(Hedea)(2)(Edea)(2)]Center Dot 2Chcl(3), Etoh Single-Molecule Magnet"
http://vivo.ufl.edu/individual/n812123828,1439-4227,Chembiochem,Identification of a Gene Cluster That Initiates Azasugar Biosynthesis in Bacillus Amyloliquefaciens
http://vivo.ufl.edu/individual/n7634098646,0363-5023,The Journal of hand surgery,Vascular Anatomy of the Proximal Ulna
http://vivo.ufl.edu/individual/n7528629698,1084-0702,Journal of Bridge Engineering,Equivalent Static Analysis Method for Barge Impact-Resistant Bridge Design
http://vivo.ufl.edu/individual/n6580960801,0148-0227,Journal of Geophysical Research,Comparison of Sprite Initiation Altitudes Between Observations and Models
http://vivo.ufl.edu/individual/n5606477527,0002-8177,Journal of the American Dental Association,Alternative Treatments To Replacement of Defective Amalgam Restorations: Results of a Seven-Year
http://vivo.ufl.edu/individual/n8173219299,1871-1413,Livestock Science,Influence On Weaning Weights of Nursing Beef Cattle Calves De-Wormed 90 Days Prior To Weaning
http://vivo.ufl.edu/individual/n4128256905,1389-9341,Forest Policy and Economics,Public Preferences for Controlling Upland Invasive Plants in State Parks: Application of a Choice Model
http://vivo.ufl.edu/individual/n8891604203,1054-139X,Journal of Adolescent Health,Who Decides? Decision Making and Fertility Preservation in Teens With Cancer: a Review of the Literature
http://vivo.ufl.edu/individual/n7884660186,0027-8424,Proceedings of the National Academy of Sciences of the United States of America,Host and Viral Ecology Determine Bat Rabies Seasonality and Maintenance
http://vivo.ufl.edu/individual/n779383097,1522-8517,Neuro-Oncology,Novel Combination Treatments Enhance Sensitivity of Brain Tumor Initiating Cells To Oncolytic Myxoma Virus Therapy
http://vivo.ufl.edu/individual/n5856861841,1932-8486,Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,Effect of Interleukin-1 Beta On the Expression of Actin Isoforms in Cultured Mouse Astroglia
http://vivo.ufl.edu/individual/n5944829258,0163-9625,Deviant Behavior,Attitude Transference and Deviant Behavior: a Comparative Study in Japan and the United States
http://vivo.ufl.edu/individual/n5774006,0065-7727,Abstracts of Papers of the American Chemical Society,Microwave-Assisted Chemical Ligation of S-Acyl Peptides Containing Non-Terminal Cysteine Residues Via 15-and 16-Membered Cyclic Transition States
http://vivo.ufl.edu/individual/n3312739312,0002-9483,American Journal of Physical Anthropology,Relative Contributions of Internal Reaction Forces To Stresses in the Great Ape Mandibular Symphysis
http://vivo.ufl.edu/individual/n2414753082,1554-8627,Autophagy,Autophagy Aids Membrane Expansion By Neuropathic Schwann Cells
http://vivo.ufl.edu/individual/n6090284374,0034-4338,Renaissance Quarterly,"Songs, Scribes, and Society: the History and Reception of the Loire Valley Chansonniers"
http://vivo.ufl.edu/individual/n5960270289,0002-9610,The American journal of surgery,Utilization of Minimally Invasive Breast Biopsy for the Evaluation of Suspicious Breast Lesions
http://vivo.ufl.edu/individual/n7932626927,0003-6951,Applied Physics Letters,Characterization of the Gate Oxide of An Algan/Gan High Electron Mobility Transistor
http://vivo.ufl.edu/individual/n2482473356,1944-8244,ACS Applied Materials and Interfaces,Superhydrophobic Functionalized Graphene Aerogels
http://vivo.ufl.edu/individual/n2496023773,1754-8403,Disease Models and Mechanisms,Degeneration and Regeneration of the Intervertebral Disc: Lessons From Development
http://vivo.ufl.edu/individual/n6991617654,0899-8418,International Journal of Climatology,Atlantic and Pacific Sea Surface Temperatures and Corn Yields in the Southeastern Usa: Lagged Relationships and Forecast Model Development
http://vivo.ufl.edu/individual/n2335385156,0191-3913,Journal of Pediatric Ophthalmology and Strabismus,Longitudinal Study of Optic Cup Progression in Children
http://vivo.ufl.edu/individual/n7826183078,0363-8111,Public Relations Review,Agenda Building Effects By 2008 Presidential Candidates On Global Media Coverage and Public Opinion
http://vivo.ufl.edu/individual/n9466736699,0955-1662,Security Journal,Randomized Controlled Trials for Loss Prevention Research: Process and Problems
http://vivo.ufl.edu/individual/n9698212883,0176-1617,Journal of Plant Physiology,Proteomic Identification of Differentially Expressed Proteins in Arabidopsis in Response To Methyl Jasmonate
http://vivo.ufl.edu/individual/n6189252661,0065-7727,Abstracts of Papers of the American Chemical Society,Extending Pi Conjugated Systems for Optoelectronic and Redox Function
http://vivo.ufl.edu/individual/n3152454581,0165-1684,Signal Processing,Information Theoretic Learning With Adaptive Kernels
http://vivo.ufl.edu/individual/n6762801438,0010-7999,Contributions To Mineralogy and Petrology,Crystal Growth During Dike Injection of Mor Basaltic Melts: Evidence From Preservation of Local Sr Disequilibria in Plagioclase
http://vivo.ufl.edu/individual/n2660419624,1527-3342,IEEE Microwave Magazine,New Distinguished Microwave Lecturers
http://vivo.ufl.edu/individual/n6537920153,0962-8819,Transgenic Research,Use of the Vvmyba1 Gene for Non-Destructive Quantification of Promoter Activity Via Color Histogram Analysis in Grapevine (Vitis Vinifera) and Tobacco
http://vivo.ufl.edu/individual/n5890745195,0031-9155,Physics in Medicine and Biology,The Uf Family of Hybrid Phantoms of the Developing Human Fetus for Computational Radiation Dosimetry
http://vivo.ufl.edu/individual/n2906123399,0730-2312,Journal of Cellular Biochemistry,"Activating Transcription Factor 2 Targets C-Fos, But Not C-Jun, in Growth Plate Chondrocytes"
http://vivo.ufl.edu/individual/n5469621044,0036-8075,Science,"Comment On ""Retrieval Practice Produces More Learning Than Elaborative Studying With Concept Mapping"""
http://vivo.ufl.edu/individual/n3967778869,0278-4343,Continental Shelf Research,Shoreline Change At An Infinite Jetty for Wave Time Series
http://vivo.ufl.edu/individual/n427434935,0006-4971,Blood,Effectiveness of High-Dose Methotrexate in T-Cell Lymphoblastic Leukemia and Advanced-Stage Lymphoblastic Lymphoma: a Randomized Study By the Children's Oncology Group (Pog 9404)
http://vivo.ufl.edu/individual/n8448124722,0013-9351,Environmental Research,A Broad Framework To Organize and Compare Ecological Invasion Impacts
http://vivo.ufl.edu/individual/n2312746644,0099-2240,Applied and Environmental Microbiology,The Eiiab(Man) Phosphotransferase System Permease Regulates Carbohydrate Catabolite Repression in Streptococcus Gordonii
http://vivo.ufl.edu/individual/n6437003995,1742-206X,Molecular bioSystems,Capturing Cancer Cells Using Aptamer-Immobilized Square Capillary Channels
http://vivo.ufl.edu/individual/n7954328096,1462-3994,Expert Reviews in Molecular Medicine,Oncolytic Virotherapy for Pancreatic Cancer
http://vivo.ufl.edu/individual/n5862249163,1397-3142,Pediatric transplantation. Supplement,The Share-35 Kidney Allografts Result in Higher Cumulative Graft Failure in Children Than in Adults
http://vivo.ufl.edu/individual/n362350422,0098-1354,Computers and Chemical Engineering,Optimal Storage Design for a Multi-Product Plant: a Non-Convex Minlp Formulation
