uri,issn,jname,atitle
http://vivo.ufl.edu/individual/n8158350354,0305-7372,Cancer Treatment Reviews,"An Integrated Clinical Approach for the Identification, Prevention, and Treatment of Tumor Lysis Syndrome"
http://vivo.ufl.edu/individual/n6399014041,0031-949X,Phytopathology,Fungicidal Control of Basil Downy Mildew
http://vivo.ufl.edu/individual/n8628129029,1364-5072,Journal of Applied Microbiology,Characterization of Reaerosolization From Impingers in An Effort To Improve Airborne Virus Sampling
http://vivo.ufl.edu/individual/n4920401023,1081-1710,Journal of Vector Ecology,Aedes Albopictus (Diptera: Culicidae) Oviposition Response To Organic Infusions From Common Flora of Suburban Florida
http://vivo.ufl.edu/individual/n791590640,0029-8549,Oecologia,Altered resource availability and the population dynamics of tree species in Amazonian secondary forests.
http://vivo.ufl.edu/individual/n1016481609,1053-8119,NeuroImage,"The Combined Effects On Neuronal Activation and Blood-Brain Barrier Permeability of Time and N-3 Polyunsaturated Fatty Acids in Mice, as Measured in Vivo Using Memri"
http://vivo.ufl.edu/individual/n2299387118,0022-0302,Journal of Dairy Science,Effects of Supplemental Manganese On Ruminal Ph and Hydrogen Sulfide Concentration in Beef Steers Fed High-Sulfur Diets Containing Distillers Grains Plus Solubles.
http://vivo.ufl.edu/individual/n9400230686,0015-4040,Florida Entomologist,"A New Genus Neopectinimura (Lepidoptera, Gelechioidea, Lecithoceridae), With Five New Species From Papua New Guinea"
http://vivo.ufl.edu/individual/n6675154132,1532-0464,Journal of Biomedical Informatics,Tma-Tab: a Spreadsheet-Based Document for Exchange of Tissue Microarray Data Based On the Tissue Microarray-Object Model
http://vivo.ufl.edu/individual/n2214357775,0890-037X,Weed Technology,Influence and Legacy of Raghavan Charudattan in Biological Control of Weeds
http://vivo.ufl.edu/individual/n5646044374,0015-4040,Florida Entomologist,"Mulch as a Potential Management Strategy for Lesser Cornstalk Borer, Elasmopalpus Lignosellus (Insecta: Lepidoptera: Pyralidae), in Bush Bean (Phaseolus Vulgaris)"
http://vivo.ufl.edu/individual/n324632,0006-291X,Biochemical and Biophysical Research Communications,Residues Glu83 plays a major role in negatively regulating alpha-synuclein amyloid formation
http://vivo.ufl.edu/individual/n6670054068,0009-7330,Circulation Research,Involvement of the Brain (Pro)Renin Receptor in Cardiovascular Homeostasis
http://vivo.ufl.edu/individual/n3082188532,0883-6612,Annals of Behavioral Medicine,Multi-Site Study of Caregiver Outcomes During Hematopoietic Cell Transplantation (Hct)
http://vivo.ufl.edu/individual/n7743099266,0732-183X,Journal of Clinical Oncology,Gastroduodenal Ulcerations as a Delayed Complication of Hepatic Metastasis Radioembolization
http://vivo.ufl.edu/individual/n93908571,0021-8812,Journal of Animal Science,Using Alfalfa Leaf Meal as a Supplement in Late-Gestation Beef Heifer and Nursing Beef Calf Diets
